Station ,Served By Subway Lines,Y2011Ridership,Y2012Ridership,Y2013Ridership,Y2014Ridership,Y2015Ridership,Y2016Ridership,2015-2016 Change,Percentage,2016 Rank,Borough
The Bronx,,,,,,,,,,,
149 St-Grand Concourse ,"IRT Jerome Avenue Line (4) & IRT White Plains Road Line (2,5)","4,169,699","4,104,847","4,427,399","4,536,888","4,424,754","4,381,900","-42,854",-1.00%,110,The Bronx
161 St-Yankee Stadium ,"IRT Jerome Avenue Line (4) & IND Concourse Line (B,D)","8,605,893","8,831,015","8,766,012","8,961,029","8,922,188","8,784,407","-137,781",-1.50%,40,The Bronx
167 St,IRT Jerome Avenue Line (4),"2,978,748","3,039,634","3,081,534","3,067,345","3,180,274","3,179,087","-1,187",0.00%,162,The Bronx
167 St ,"IND Concourse Line (B,D)","2,952,368","2,972,535","3,091,289","3,245,977","3,295,032","3,365,748","70,716",2.10%,151,The Bronx
170 St ,IRT Jerome Avenue Line (4),"2,954,573","2,980,786","2,961,575","2,941,958","3,045,205","3,038,777","-6,428",-0.20%,170,The Bronx
170 St ,"IND Concourse Line (B,D)","1,988,409","2,032,837","2,174,082","2,297,459","2,286,670","2,317,558","30,888",1.40%,218,The Bronx
174 St ,"IRT White Plains Road Line (2,5)","2,161,875","2,152,009","2,301,756","2,374,812","2,313,651","2,411,413","97,762",4.20%,206,The Bronx
174-175 Sts ,"IND Concourse Line (B,D)","1,492,092","1,496,869","1,598,189","1,719,504","1,695,879","1,752,387","56,508",3.30%,279,The Bronx
176 St ,IRT Jerome Avenue Line (4),"1,720,629","1,764,100","1,837,995","1,848,854","1,969,221","2,036,529","67,308",3.40%,245,The Bronx
182-183 Sts ,"IND Concourse Line (B,D)","1,489,026","1,447,028","1,520,856","1,604,218","1,643,266","1,682,092","38,826",2.40%,284,The Bronx
183 St ,IRT Jerome Avenue Line (4),"1,978,737","1,997,038","2,002,633","2,007,140","2,057,944","2,071,316","13,372",0.60%,239,The Bronx
219 St ,"IRT White Plains Road Line (2,5)","1,032,343","1,063,058","1,099,491","1,124,522","1,108,859","1,049,128","-59,731",-5.40%,356,The Bronx
225 St ,"IRT White Plains Road Line (2,5)","1,336,790","1,382,626","1,400,377","1,445,591","1,439,495","1,365,544","-73,951",-5.10%,315,The Bronx
231 St ,IRT Broadway Line (1),"2,731,068","2,829,503","2,757,855","2,912,283","2,966,015","3,013,521","47,506",1.60%,172,The Bronx
233 St ,"IRT White Plains Road Line (2,5)","1,655,372","1,674,406","1,719,181","1,803,693","1,762,923","1,688,487","-74,436",-4.20%,283,The Bronx
238 St  ,"IRT Broadway Line (1,9)","902,601","1,106,353","1,092,492","1,209,623","1,240,616","1,327,862","87,246",7.00%,323,The Bronx
3 Av-138 St ,IRT Pelham Line (6),"2,280,268","2,304,717","2,443,326","2,534,036","2,531,974","2,509,085","-22,889",-0.90%,201,The Bronx
3 Av-149 St,"IRT White Plains Road Line (2,5)","7,232,070","7,525,904","7,310,115","7,763,151","7,363,663","7,609,968","246,305",3.30%,55,The Bronx
Allerton Av  ,"IRT White Plains Road Line (2,5)","1,602,390","1,689,145","1,747,352","1,829,712","1,821,628","1,733,740","-87,888",-4.80%,281,The Bronx
Baychester Av ,"IRT Dyre Ave Line (2,5)","1,106,959","1,161,075","1,234,050","1,186,372","1,137,693","1,112,259","-25,434",-2.20%,344,The Bronx
Bedford Park Blvd ,"IND Concourse Line (B,D)","1,914,096","1,929,623","2,040,887","2,136,860","2,196,065","2,240,256","44,191",2.00%,222,The Bronx
Bedford Park Blvd-Lehman College,IRT Jerome Avenue Line (4),"1,835,965","1,796,392","1,853,706","1,827,260","1,863,892","1,812,036","-51,856",-2.80%,268,The Bronx
Bronx Park East ,"IRT White Plains Road Line (2,5)","826,356","860,554","914,831","933,109","877,311","841,547","-35,764",-4.10%,377,The Bronx
Brook Av ,IRT Pelham Line (6),"1,950,893","1,901,192","1,970,010","2,002,825","1,981,721","1,964,831","-16,890",-0.90%,257,The Bronx
Buhre Av ,IRT Pelham Line (6),"991,171","1,008,640","1,111,659","637,600","661,527","1,048,776","387,249",58.50%,357,The Bronx
Burke Av ,"IRT White Plains Road Line (2,5)","1,036,169","1,086,792","1,133,298","1,158,787","1,139,826","1,099,582","-40,244",-3.50%,347,The Bronx
Burnside Av ,IRT Jerome Avenue Line (4),"3,528,312","3,508,076","3,560,191","3,558,297","3,641,720","3,617,308","-24,412",-0.70%,142,The Bronx
Castle Hill Av ,IRT Pelham Line (6),"2,341,370","2,327,404","1,756,879","1,491,030","2,174,412","2,100,194","-74,218",-3.40%,238,The Bronx
